time,Open,High,Low,Close,Volume,returns,volatility,price,quote_qty,is_buyer_maker,quote_qty_cal,Short_MA_6,Long_MA_13,MACD_613,Signal_Line_4,MACD_Oscillator613,Short_MA_12,Long_MA_26,MACD_1226,Signal_Line_9,MACD_Oscillator1226,atr,highest_high,lowest_low,%K,%D,upper_band,lower_band
2023-03-23 9:00,27621.4,27631,27557.4,27610.8,10867.605,-0.00038376,0.01394928,27594.6277,13549.04215,66183,299887513.9,27558.03213,27542.91878,15.11335151,-17.7087214,32.82207291,27537.43063,27649.89775,-112.4671188,-155.9688567,43.50173789,251.0714286,27735,26590,89.15283843,68.68832707,28708.59513,26571.65068
2023-03-23 10:00,27610.8,27656.7,27573.2,27597.3,10639.402,-0.000488939,0.01371564,27616.05084,10318.25849,52389,293818266.5,27569.25152,27550.68752,18.56399737,-3.199633894,21.76363126,27546.64131,27646.00162,-99.36031728,-144.6471488,45.28683152,201.1785714,27735,26956.3,82.31668165,81.19342202,28583.74765,26607.67101
2023-03-23 11:00,27597.3,27628.7,27420,27573.4,26363.514,-0.000866027,0.013698826,27517.05488,17551.0845,110930,725446261.5,27570.4368,27553.93216,16.5046378,4.682074783,11.82256302,27550.75803,27640.62373,-89.86569709,-133.6908585,43.82516136,189.7357143,27735,26956.3,79.24746372,83.57232793,28407.69212,26674.93348
2023-03-23 12:00,27573.5,27638,27439,27462.6,22138.446,-0.004018366,0.013682643,27552.07435,19133.13944,103305,609960110.2,27539.62629,27540.88471,-1.258424707,2.305874987,-3.564299694,27537.19525,27627.43678,-90.24152804,-125.0009924,34.75946433,184.8285714,27735,27101,57.03470032,72.8662819,28202.45525,26776.49976
2023-03-23 13:00,27462.4,27490.3,27267,27354.8,41674.563,-0.003925338,0.013674944,27370.47073,15062.84745,168847,1140652407,27486.81878,27514.30118,-27.48240482,-9.609436937,-17.87296789,27509.13445,27607.24147,-98.1070192,-119.6221977,21.51517854,189.0714286,27735,27101,40.03154574,58.77123659,27995.00587,26877.71263
2023-03-23 14:00,27354.7,28158.4,27283.4,28043.6,62228.048,0.025180224,0.014467941,27574.84998,20884.8882,189132,1715929088,27645.89913,27589.9153,55.98382795,16.62786902,39.35595894,27591.35992,27639.56432,-48.20440379,-105.3386389,57.13423515,234.1571429,28158.4,27101,89.14318139,62.06980915,27768.37249,27027.6117
2023-03-23 15:00,28043.6,28777,27968,28574.5,154914.344,0.018931236,0.009509249,28440.38328,21510.62317,503676,4405823320,27911.21366,27730.57025,180.6434061,82.23408384,98.40932223,27742.61224,27708.81881,33.79342199,-77.51222676,111.3056488,277.0714286,28777,27130.5,87.70118433,72.29197049,28046.79295,26863.5103
2023-03-23 16:00,28574.6,28645.2,28353.2,28460.1,48183.358,-0.00400357,0.00831764,28472.06258,14819.98935,196296,1371879585,28068.03833,27834.78879,233.2495394,142.640266,90.60927331,27852.99497,27764.46927,88.52569665,-44.30464208,132.8303387,283.0857143,28777,27231.3,79.49796209,85.4474426,28238.93245,26816.51635
2023-03-23 17:00,28460.2,28503,28116,28291.7,49756.752,-0.005917056,0.008168432,28285.14289,19391.45483,166575,1407376840,28131.94166,27900.06182,231.8798438,178.3360972,53.54374668,27920.48805,27803.5234,116.9646503,-12.0507836,129.0154339,301.2357143,28777,27231.3,68.60322184,78.60078942,28353.29269,26806.13724
2023-03-23 18:00,28291.7,28386.9,27780,27893.3,53453.663,-0.014081869,0.008919612,28093.80419,15738.71741,183070,1501716741,28063.75833,27899.09585,164.6624856,172.8666525,-8.204166927,27916.30527,27810.17352,106.1317548,11.58572408,94.5460307,331.75,28777,27262.1,41.66611658,63.25576683,28401.61046,26856.44788
2023-03-23 19:00,27893.2,28444.5,27757.1,28362.5,70906.788,0.016821244,0.009570776,28042.71061,21048.38448,237994,1988418536,28149.11309,27965.29644,183.8166546,177.2466534,6.570001256,27984.95062,27851.08659,133.8640246,36.04138418,97.82264041,351,28777,27267,72.54966887,60.9396691,28440.75495,26896.50051
2023-03-23 20:00,28362.5,28363.4,28080.9,28277.3,30971.782,-0.003003967,0.009636261,28202.95809,22062.64415,114748,873495869.7,28185.73792,28009.86838,175.8695477,176.6958111,-0.826263393,28029.92744,27882.65796,147.2694893,58.2870052,88.98248407,361.5071429,28777,27267,66.90728477,60.37435674,28501.60635,26924.21995
2023-03-23 21:00,28276.9,28279.1,27945.8,28161.9,22441.258,-0.004081012,0.009557648,28122.95243,12016.68169,94745,631114431.2,28178.92709,28031.58718,147.3399089,164.9534502,-17.61354134,28050.23091,27903.34255,146.8883634,76.00727685,70.88108658,375.1857143,28777,27267,59.26490066,66.2406181,28531.37362,26984.53811
2023-03-23 22:00,28161.9,28266,28072.9,28205.8,13425.154,0.001558844,0.00947185,28168.96338,9407.039881,61608,378172671.4,28186.60506,28056.47473,130.1303378,151.0242053,-20.89386745,28074.16462,27925.74681,148.4178134,90.48938416,57.92842924,375.3071429,28777,27267,62.17218543,62.78145695,28559.72183,27047.61935
2023-03-23 23:00,28205.7,28439,28173.6,28284.1,22648.82,0.002776025,0.009469675,28328.28669,15159.1451,91981,641602266.2,28214.46076,28088.99262,125.4681377,140.8017782,-15.33364057,28106.46237,27952.29149,154.1708832,103.225684,50.9451992,389.0071429,28777,27267,67.35761589,62.93156733,28610.84876,27095.18294
2023-03-24 0:00,28284,28369.1,28167,28187.8,15147.633,-0.00340474,0.009481449,28286.40433,17013.16321,71783,428472071.7,28206.8434,28103.10796,103.7354381,125.9752422,-22.2398041,28118.97585,27969.73656,149.2392896,112.4284051,36.8108845,397.4785714,28777,27267,60.98013245,63.50331126,28641.14546,27159.66155
